variant,detector,kind,rank,stem,value,bgr_delta,luma_delta,chroma_delta,grad_ratio,luma_std_ratio,delta_f1,delta_false_edge,delta_endpoints,delta_pred_density
FF01_full_flow_v8,msfi_50k,pred_density_increase,7,sanjiaoji.10,0.0037304687499999994,6.818323612213135,1.0107519626617432,4.517207145690918,1.013352785908611,1.031546028358916,-0.21366563123616233,0.33802804111728596,10.429823231897968,0.0037304687499999994
FF01_full_flow_v8,msfi_50k,pred_density_increase,8,xuehong.11,0.0036425781250000004,5.424173355102539,1.2650976181030273,2.891494035720825,1.0279958841577554,1.020657130810586,-0.3438009586337607,0.5513881011992863,4.5820942976304035,0.0036425781250000004
FF01_full_flow_v8,msfi_50k,pred_density_increase,9,ribenxing.3,0.0035742187499999967,3.1680240631103516,1.0832324028015137,3.124330997467041,1.035667269570557,1.0617107470816756,-0.03230258809142539,0.020801253780357354,5.7170422009212025,0.0035742187499999967
FF01_full_flow_v8,msfi_50k,pred_density_increase,10,jiaomaozao.13,0.0033007812500000025,0.9354915618896484,0.9537890553474426,0.08968261629343033,1.0148647582813162,1.0064179598328014,-0.053480826860839104,0.08297610343059247,-1.7513503858338169,0.0033007812500000025
FF02_detector_compatible,diffusionedge_baseline_50k,f1_loss,1,weixiaoyuanjia.26,-0.41565082189255687,30.956151962280273,2.3716700077056885,15.435522079467773,1.000124100965443,1.0598774527379846,-0.41565082189255687,0.5824573225516622,21.551724137931036,0.00208984375
FF02_detector_compatible,diffusionedge_baseline_50k,f1_loss,2,weixiaoyuanjia.23,-0.3524599542334096,31.011184692382812,2.837959051132202,15.34256362915039,1.0317552923850142,1.0991051914056698,-0.3524599542334096,0.5163209721349257,18.099547511312217,0.00197265625
FF02_detector_compatible,diffusionedge_baseline_50k,f1_loss,3,donghaiyuanjia.26,-0.3470899470899471,29.26399803161621,2.580810546875,14.35498046875,0.8690482599570981,1.0705384004315937,-0.3470899470899471,0.5106004447739065,11.235955056179776,0.001611328125
FF02_detector_compatible,diffusionedge_baseline_50k,f1_loss,4,xuehong.11,-0.3431362353915053,7.0856475830078125,1.1787792444229126,3.905258893966675,0.8681656968098559,0.9986476082938073,-0.3431362353915053,0.4048595117457393,16.186964225851252,0.00109375
FF02_detector_compatible,diffusionedge_baseline_50k,f1_loss,5,luoshijiaomao.3,-0.3344027583389858,5.408502578735352,1.1203515529632568,5.452856540679932,0.8933959550124848,1.011547070695681,-0.3344027583389858,0.08706792118506661,9.703972824803069,-0.014423828125
FF02_detector_compatible,diffusionedge_baseline_50k,f1_loss,6,xuehong.13,-0.3163228543703783,7.098564624786377,1.181699275970459,3.912910223007202,0.8667708029611769,0.9994236144716125,-0.3163228543703783,0.5239406656175322,-1.3513140840020945,0.004365234375
FF02_detector_compatible,diffusionedge_baseline_50k,f1_loss,7,xuehong.9,-0.3059034847159398,7.088323593139648,1.182802677154541,3.905810594558716,0.8701590464578561,0.9990179686891125,-0.3059034847159398,0.5595182238372384,16.736401673640167,0.004716796874999999
