method,stem,original_filename,result_filename,original_path,result_path,EME,EMEE,Entropy,Contrast,AvgGra,SIFT_KP,MS_SSIM,PSNR,UCIQE,UIQM
OursFinalPNG,jiaomaozao.21,jiaomaozao.21.jpg,jiaomaozao.21_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\jiaomaozao.21.jpg,D:\Desktop\Stage1Codex\results\png\Final\jiaomaozao.21_Final.png,18.44541962,1.343796361,5.845993798,1183.054105,22.20281883,5776,0.8092387319,21.40992907,4.180120945,36.49982917
OursFinalPNG,jiaomaozao.30,jiaomaozao.30.jpg,jiaomaozao.30_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\jiaomaozao.30.jpg,D:\Desktop\Stage1Codex\results\png\Final\jiaomaozao.30_Final.png,16.24602485,1.205591786,6.65108579,545.5254212,17.89524709,4984,0.8756245971,22.43000638,9.193477631,35.72938894
OursFinalPNG,jiaomaozao.6,jiaomaozao.6.jpg,jiaomaozao.6_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\jiaomaozao.6.jpg,D:\Desktop\Stage1Codex\results\png\Final\jiaomaozao.6_Final.png,12.16983361,0.9816335182,6.667041129,417.3967134,12.51413893,3192,0.8853313923,22.36550663,4.17777586,26.33052053
OursFinalPNG,jiaomaozao.9,jiaomaozao.9.jpg,jiaomaozao.9_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\jiaomaozao.9.jpg,D:\Desktop\Stage1Codex\results\png\Final\jiaomaozao.9_Final.png,14.19086606,1.091017115,6.581735435,478.991443,16.6716622,4592,0.8338398337,20.39761609,8.15014267,32.39725126
OursFinalPNG,lianzhuang.7,lianzhuang.7.jpg,lianzhuang.7_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\lianzhuang.7.jpg,D:\Desktop\Stage1Codex\results\png\Final\lianzhuang.7_Final.png,6.069948797,0.6367322208,5.040035233,356.6397678,10.34822747,1944,0.8992387652,23.78333988,8.956332207,16.1885006
OursFinalPNG,lianzhuang.8,lianzhuang.8.jpg,lianzhuang.8_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\lianzhuang.8.jpg,D:\Desktop\Stage1Codex\results\png\Final\lianzhuang.8_Final.png,7.584203426,0.7259717613,4.788937095,576.0049226,12.10759138,3337,0.9411417246,22.19513116,7.668806076,15.67146155
OursFinalPNG,limayuanjia.10,limayuanjia.10.jpg,limayuanjia.10_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\limayuanjia.10.jpg,D:\Desktop\Stage1Codex\results\png\Final\limayuanjia.10_Final.png,8.815536635,0.7957827344,4.960929476,538.0378184,12.26851842,2769,0.9347765446,18.55164173,9.517544746,18.79926365
OursFinalPNG,limayuanjia.16,limayuanjia.16.jpg,limayuanjia.16_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\limayuanjia.16.jpg,D:\Desktop\Stage1Codex\results\png\Final\limayuanjia.16_Final.png,4.106562006,0.5280314301,5.086151601,214.6157181,7.242658758,882,0.9424898624,23.02945444,5.901031017,10.11750151
OursFinalPNG,limayuanjia.9,limayuanjia.9.jpg,limayuanjia.9_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\limayuanjia.9.jpg,D:\Desktop\Stage1Codex\results\png\Final\limayuanjia.9_Final.png,7.79201163,0.738258123,5.149794379,363.7664087,10.07427,2186,0.9333167672,19.30531088,8.143200874,16.99963839
OursFinalPNG,lingxinghaixian.2,lingxinghaixian.2.jpg,lingxinghaixian.2_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\lingxinghaixian.2.jpg,D:\Desktop\Stage1Codex\results\png\Final\lingxinghaixian.2_Final.png,9.153234725,0.8127006125,5.686415896,522.5682357,13.70167813,2307,0.7895638943,14.84740893,3.575065851,20.01561807
OursFinalPNG,luojiazao.2,luojiazao.2.jpg,luojiazao.2_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\luojiazao.2.jpg,D:\Desktop\Stage1Codex\results\png\Final\luojiazao.2_Final.png,9.693447945,0.8359945796,7.162784131,96.94538597,6.839342442,877,0.8756708503,24.03090258,5.678025246,22.15539849
OursFinalPNG,luojiazao.8,luojiazao.8.jpg,luojiazao.8_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\luojiazao.8.jpg,D:\Desktop\Stage1Codex\results\png\Final\luojiazao.8_Final.png,16.76106731,1.235054773,6.830304862,1233.930388,34.12361115,16068,0.8292484879,15.95323236,4.655671597,36.94046651
OursFinalPNG,sanjiaoji.1,sanjiaoji.1.jpg,sanjiaoji.1_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\sanjiaoji.1.jpg,D:\Desktop\Stage1Codex\results\png\Final\sanjiaoji.1_Final.png,5.65099698,0.6162898142,4.73242763,325.6180447,8.330338508,1090,0.8453971148,19.5920468,2.881429434,11.87447955
OursFinalPNG,sanjiaoji.11,sanjiaoji.11.jpg,sanjiaoji.11_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\sanjiaoji.11.jpg,D:\Desktop\Stage1Codex\results\png\Final\sanjiaoji.11_Final.png,6.402088918,0.6566252455,5.070565874,329.7803438,9.067989611,1261,0.7949092388,21.16764064,2.452736378,12.56195699
OursFinalPNG,sanjiaoji.13,sanjiaoji.13.jpg,sanjiaoji.13_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\sanjiaoji.13.jpg,D:\Desktop\Stage1Codex\results\png\Final\sanjiaoji.13_Final.png,5.036505762,0.5811948186,4.532718145,306.5625686,7.868606911,1025,0.8511677384,17.68958054,2.846647024,10.2101213
OursFinalPNG,sanjiaoji.2,sanjiaoji.2.jpg,sanjiaoji.2_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\sanjiaoji.2.jpg,D:\Desktop\Stage1Codex\results\png\Final\sanjiaoji.2_Final.png,5.639940579,0.6158488359,4.673785061,295.4655515,8.104296087,1076,0.849625051,20.84750346,2.479977846,11.74041962
OursFinalPNG,sanjiaoji.3,sanjiaoji.3.jpg,sanjiaoji.3_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\sanjiaoji.3.jpg,D:\Desktop\Stage1Codex\results\png\Final\sanjiaoji.3_Final.png,5.735326272,0.6210653262,4.638426654,337.6639841,8.545899649,1238,0.8318588138,20.2955873,2.208325386,12.42656613
OursFinalPNG,sanjiaoji.4,sanjiaoji.4.jpg,sanjiaoji.4_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\sanjiaoji.4.jpg,D:\Desktop\Stage1Codex\results\png\Final\sanjiaoji.4_Final.png,5.494445298,0.6070004712,4.607088919,279.8805986,7.683089576,1022,0.8479877114,21.14805546,3.193842411,11.33147445
