method,stem,original_filename,result_filename,original_path,result_path,EME,EMEE,Entropy,Contrast,AvgGra,MS_SSIM,PSNR,UCIQE,UIQM
HVDualformer,chichaoyiwan.2,chichaoyiwan.2.jpg,chichaoyiwan.2.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.2.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HVDualformer\chichaoyiwan.2.jpg,1.066474599,0.3582219268,3.179846388,3.561334248,1.711815481,0.99468261,30.09702674,0.3897515775,4.207499137
Ours,chichaoyiwan.2,chichaoyiwan.2.jpg,chichaoyiwan.2.png,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.2.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Ours\chichaoyiwan.2.png,38.19162336,2.461154169,7.372931484,2563.425407,57.62483218,0.3319116831,14.21227825,1.280407571,71.8860247
SGUIE-Net,chichaoyiwan.2,chichaoyiwan.2.jpg,chichaoyiwan.2.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.2.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\SGUIE-Net\chichaoyiwan.2.jpg,1.354879472,0.37403368,3.632631084,5.560648511,1.81939696,0.9797504544,31.13908355,1.244884965,6.075955867
WWPF,chichaoyiwan.2,chichaoyiwan.2.jpg,chichaoyiwan.2.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.2.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\WWPF\chichaoyiwan.2.jpg,10.67748755,0.8919242518,6.648536481,427.8668887,23.88712884,0.4065967798,15.87480914,1.112155828,26.43795544
ABC-Former,chichaoyiwan.3,chichaoyiwan.3.jpg,chichaoyiwan.3.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.3.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\ABC-Former\chichaoyiwan.3.jpg,0.8069826506,0.3440542468,3.050392515,3.094548393,1.285195481,0.9975090027,39.62226006,0.3661512899,2.536299623
CBF,chichaoyiwan.3,chichaoyiwan.3.jpg,chichaoyiwan.3.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.3.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\CBF\chichaoyiwan.3.jpg,7.870924983,0.7315976533,6.508153493,96.03365008,10.90981045,0.5646343827,17.50151644,2.008327293,21.43850546
GDCP,chichaoyiwan.3,chichaoyiwan.3.jpg,chichaoyiwan.3.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.3.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\GDCP\chichaoyiwan.3.jpg,2.560277677,0.4410830761,4.566332397,23.50712187,3.977506128,0.9310476184,27.72050678,0.9379776353,11.62496484
Histoformer,chichaoyiwan.3,chichaoyiwan.3.jpg,chichaoyiwan.3.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.3.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Histoformer\chichaoyiwan.3.jpg,30.13350084,1.989233946,7.383186738,1114.081549,38.40867215,0.144033879,12.27769031,4.864557444,60.29835071
HLRP,chichaoyiwan.3,chichaoyiwan.3.jpg,chichaoyiwan.3.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.3.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HLRP\chichaoyiwan.3.jpg,12.90046176,1.009806535,6.566221923,160.3763568,15.05551851,0.388381362,12.97531017,1.313941526,29.64551912
HVDualformer,chichaoyiwan.3,chichaoyiwan.3.jpg,chichaoyiwan.3.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.3.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HVDualformer\chichaoyiwan.3.jpg,0.9650154651,0.3526906216,3.265517967,3.507288401,1.417822178,0.9939238429,29.40697459,0.364189284,3.390365153
