variant,detector,x_enhancement_var,y_structure_delta,n,pearson,spearman
D01_structure_flow,msfi_50k,grad_mean_ratio,delta_false_edge_ratio_tol,168,0.12919130993780684,0.17054442103325188
D01_structure_flow,msfi_50k,grad_mean_ratio,delta_endpoints_per_1k_skel_px,168,0.02832539368774398,0.1932180373046887
D01_structure_flow,msfi_50k,grad_mean_ratio,delta_pred_edge_density,168,0.2844493128112688,0.5576203474705451
D01_structure_flow,msfi_50k,luma_std_ratio,delta_boundary_f1_tol,168,-0.08649465360176682,-0.048360359087384085
D01_structure_flow,msfi_50k,luma_std_ratio,delta_boundary_precision_tol,168,-0.06740393172212374,-0.05651996750782193
D01_structure_flow,msfi_50k,luma_std_ratio,delta_boundary_recall_tol,168,-0.014372097734375118,0.025994199981629416
D01_structure_flow,msfi_50k,luma_std_ratio,delta_false_edge_ratio_tol,168,0.06740393172212363,0.05651996750782193
D01_structure_flow,msfi_50k,luma_std_ratio,delta_endpoints_per_1k_skel_px,168,-0.08152107957190187,0.05298150342159656
D01_structure_flow,msfi_50k,luma_std_ratio,delta_pred_edge_density,168,0.06012100503072433,0.18268789080434067
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_bgr_delta,delta_boundary_f1_tol,168,-0.2983756079473062,-0.0472993151482327
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_bgr_delta,delta_boundary_precision_tol,168,-0.3421511092416376,-0.14361134029489625
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_bgr_delta,delta_boundary_recall_tol,168,0.1289308150447472,0.22671951131868004
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_bgr_delta,delta_false_edge_ratio_tol,168,0.34215110924163766,0.14361134029489625
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_bgr_delta,delta_endpoints_per_1k_skel_px,168,0.3641126937783397,0.11798193244353183
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_bgr_delta,delta_pred_edge_density,168,0.2801386918698698,0.20722129248966584
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_luma_delta,delta_boundary_f1_tol,168,-0.3093337693835172,-0.03880826681379422
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_luma_delta,delta_boundary_precision_tol,168,-0.2909556634081854,-0.10978381360693659
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_luma_delta,delta_boundary_recall_tol,168,-0.022728922342262238,0.17950198428227915
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_luma_delta,delta_false_edge_ratio_tol,168,0.2909556634081855,0.10978381360693659
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_luma_delta,delta_endpoints_per_1k_skel_px,168,0.45736206800454937,0.09042690410121021
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_luma_delta,delta_pred_edge_density,168,0.11897136535802721,0.11746416404011371
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_chroma_delta,delta_boundary_f1_tol,168,-0.07643403479416071,0.01693907198283062
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_chroma_delta,delta_boundary_precision_tol,168,-0.12737014708200212,-0.0865808535085366
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_chroma_delta,delta_boundary_recall_tol,168,0.20418848543196047,0.24706745198849087
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_chroma_delta,delta_false_edge_ratio_tol,168,0.1273701470820021,0.0865808535085366
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_chroma_delta,delta_endpoints_per_1k_skel_px,168,0.20934488872376222,0.09653770398991926
FF01_full_flow_v8,diffusionedge_baseline_50k,mean_abs_chroma_delta,delta_pred_edge_density,168,0.24989851338729116,0.16121711017136137
FF01_full_flow_v8,diffusionedge_baseline_50k,psnr_vs_raw,delta_boundary_f1_tol,168,0.1979677663078175,0.03129413193899606
FF01_full_flow_v8,diffusionedge_baseline_50k,psnr_vs_raw,delta_boundary_precision_tol,168,0.2702203949874189,0.12540177464175623
FF01_full_flow_v8,diffusionedge_baseline_50k,psnr_vs_raw,delta_boundary_recall_tol,168,-0.19580805664000842,-0.24257755463974504
FF01_full_flow_v8,diffusionedge_baseline_50k,psnr_vs_raw,delta_false_edge_ratio_tol,168,-0.27022039498741884,-0.12540177464175623
FF01_full_flow_v8,diffusionedge_baseline_50k,psnr_vs_raw,delta_endpoints_per_1k_skel_px,168,-0.1893910050028156,-0.10735428897657383
FF01_full_flow_v8,diffusionedge_baseline_50k,psnr_vs_raw,delta_pred_edge_density,168,-0.3709731519896155,-0.17670369165376798
FF01_full_flow_v8,diffusionedge_baseline_50k,grad_mean_ratio,delta_boundary_f1_tol,168,-0.22760189291715846,0.10612671529299811
FF01_full_flow_v8,diffusionedge_baseline_50k,grad_mean_ratio,delta_boundary_precision_tol,168,-0.2584492126611786,-0.00019487651915104702
FF01_full_flow_v8,diffusionedge_baseline_50k,grad_mean_ratio,delta_boundary_recall_tol,168,0.19364622048107344,0.30802878577642295
FF01_full_flow_v8,diffusionedge_baseline_50k,grad_mean_ratio,delta_false_edge_ratio_tol,168,0.25844921266117865,0.00019487651915104702
FF01_full_flow_v8,diffusionedge_baseline_50k,grad_mean_ratio,delta_endpoints_per_1k_skel_px,168,0.3274364657217428,-0.08024561912373665
FF01_full_flow_v8,diffusionedge_baseline_50k,grad_mean_ratio,delta_pred_edge_density,168,0.16277655634176166,0.15956443200368503
FF01_full_flow_v8,diffusionedge_baseline_50k,luma_std_ratio,delta_boundary_f1_tol,168,-0.21901717089448658,0.033369440324760455
FF01_full_flow_v8,diffusionedge_baseline_50k,luma_std_ratio,delta_boundary_precision_tol,168,-0.31287250514051035,-0.10043986414322664
FF01_full_flow_v8,diffusionedge_baseline_50k,luma_std_ratio,delta_boundary_recall_tol,168,0.2934088029607743,0.3560305854418586
