variant,stem,status,path,mean_abs_bgr_delta,mean_abs_luma_delta,mean_abs_chroma_delta,psnr_vs_raw,raw_grad_mean,final_grad_mean,grad_mean_ratio,raw_luma_std,final_luma_std,luma_std_ratio
P27_raw_detail_lowfreq_chroma,jiaomaozao.19,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\jiaomaozao.19_Final.png,3.9563183784484863,2.870371103286743,1.8374218940734863,31.05803585073079,0.8256626129150391,0.8295211791992188,1.0046732953862154,17.24053382873535,17.332826614379883,1.005353244021096
P27_raw_detail_lowfreq_chroma,jiaomaozao.26,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\jiaomaozao.26_Final.png,3.3477180004119873,2.268017530441284,1.648193359375,35.14591087037452,0.6484974026679993,0.6703276634216309,1.033662832927559,33.341251373291016,33.418487548828125,1.0023165349635517
P27_raw_detail_lowfreq_chroma,jiaomaozao.27,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\jiaomaozao.27_Final.png,2.4930500984191895,2.072988271713257,0.7995312213897705,33.10058782500807,0.32968658208847046,0.343169242143631,1.0408953829083862,11.358715057373047,11.475799560546875,1.0103079002838018
P27_raw_detail_lowfreq_chroma,jiaomaozao.28,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\jiaomaozao.28_Final.png,3.3026463985443115,2.3194823265075684,1.4735645055770874,32.16499538973319,0.49578219652175903,0.5204155445098877,1.0496858239591136,11.20397663116455,11.296935081481934,1.008296915672826
P27_raw_detail_lowfreq_chroma,jiaomaozao.29,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\jiaomaozao.29_Final.png,1.9578157663345337,1.7570117712020874,0.9258496165275574,39.735370548884184,0.2604901194572449,0.28090912103652954,1.0783868522285707,8.57400894165039,8.562565803527832,0.9986653688841358
P27_raw_detail_lowfreq_chroma,juciqigou.3,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\juciqigou.3_Final.png,3.248990774154663,2.013046979904175,1.5298681259155273,32.94137697470052,0.7043598890304565,0.6741062998771667,0.9570481076769127,19.398757934570312,19.047964096069336,0.981916685559659
P27_raw_detail_lowfreq_chroma,kailun.2,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\kailun.2_Final.png,3.115032434463501,2.4881348609924316,1.3579541444778442,33.32963047310479,0.6636965274810791,0.6034374833106995,0.9092069302994742,12.922197341918945,12.263967514038086,0.9490620819808518
P27_raw_detail_lowfreq_chroma,lianzhuang.4,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\lianzhuang.4_Final.png,1.9633333683013916,1.6996679306030273,0.7105859518051147,37.80526123977351,0.29456257820129395,0.27704915404319763,0.9405442972234153,10.934064865112305,10.821632385253906,0.9897172293895148
P27_raw_detail_lowfreq_chroma,lianzhuang.5,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\lianzhuang.5_Final.png,1.8396614789962769,1.5464062690734863,0.7229785323143005,39.17503151513438,0.347158282995224,0.33816102147102356,0.9740831115401981,10.63210391998291,10.635706901550293,1.000338877478452
P27_raw_detail_lowfreq_chroma,lianzhuang.6,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\lianzhuang.6_Final.png,1.8897037506103516,1.5377637147903442,0.7839502096176147,38.71752893334521,0.3652353584766388,0.35528382658958435,0.9727530956988545,13.606341361999512,13.565780639648438,0.9970189838495914
P27_raw_detail_lowfreq_chroma,lianzhuangluojia.10,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\lianzhuangluojia.10_Final.png,1.580065131187439,1.0964844226837158,0.6611865162849426,41.81740320365046,0.023860111832618713,0.06275033205747604,2.6299260400684794,4.4840922355651855,4.489806175231934,1.00127426876284
P27_raw_detail_lowfreq_chroma,lianzhuangluojia.11,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\lianzhuangluojia.11_Final.png,1.3599185943603516,1.1766504049301147,0.39582520723342896,42.821269300450176,0.0525776669383049,0.09462130814790726,1.7996482510205043,7.331287860870361,7.358794212341309,1.0037519124864822
P27_raw_detail_lowfreq_chroma,lianzhuangluojia.12,ok,D:\Desktop\Stage1Codex\experiments\downstream_driven_v1\outputs\myedge168\raw_detail_lowfreq_chroma_v1\png\Final\lianzhuangluojia.12_Final.png,2.0258495807647705,1.6633691787719727,0.5462060570716858,35.26274099561587,0.22851067781448364,0.22884444892406464,1.0014606324365785,9.94005012512207,9.363407135009766,0.94198791919601
