# Image Metrics (EME/EMEE/Entropy/Contrast/AvgGradient/SIFT_KP/MS_SSIM/PSNR/UCIQE/UIQM)
# Folder: D:\Desktop\Stage1\results\Final
# Time: 2026-03-13 17:39:54
# Notes:AvgGra -> AverageGradient
# Columns:
# filename                     EME     EMEE     Entropy  Contrast   AvgGra  SIFT_KP  MS_SSIM  PSNR     UCIQE    UIQM    
lianzhuang.8_Final.jpg         7.4732  0.7194   4.9843   552.5033   11.8386  2936    0.9419  22.3475   7.4261  16.0890 
limayuanjia.10_Final.jpg       8.6565  0.7864   5.1097   522.2676   12.0001  2348    0.9356  18.5979   9.3382  20.7840 
limayuanjia.16_Final.jpg       4.1350  0.5297   5.1114   206.7839   7.0353   722     0.9421  23.0852   5.8241  14.9057 
limayuanjia.9_Final.jpg        7.7518  0.7358   5.2293   355.7607   9.8579   1836    0.9336  19.3300   8.0004  19.7539 
lingxinghaixian.2_Final.jpg    9.3514  0.8248   5.7917   509.8691   13.7254  1635    0.7886  14.8682   3.3746  24.8629 
luojiazao.2_Final.jpg          9.8237  0.8433   7.1826   97.3808    6.8682   618     0.8751  24.0272   5.6785  22.5590 
luojiazao.8_Final.jpg          16.5880 1.2245   6.8584   1222.5868  34.3179  12480   0.8291  15.9702   4.4921  37.1135 
sanjiaoji.11_Final.jpg         6.4555  0.6597   5.3837   324.4354   9.0649   1032    0.7942  21.1964   2.3298  16.3458 
sanjiaoji.13_Final.jpg         5.0710  0.5832   4.9914   298.3052   7.7449   825     0.8505  17.7103   2.6935  13.4919 
sanjiaoji.1_Final.jpg          5.6835  0.6182   5.0695   317.8676   8.1827   911     0.8451  19.6218   2.7421  14.8906 
sanjiaoji.2_Final.jpg          5.6678  0.6174   5.1160   289.5827   7.9786   859     0.8494  20.8765   2.3441  14.9624 
sanjiaoji.3_Final.jpg          5.7491  0.6219   5.1385   330.9689   8.3934   984     0.8313  20.3233   2.1017  14.5689 
sanjiaoji.4_Final.jpg          5.5451  0.6099   5.1778   272.3655   7.5857   799     0.8476  21.1886   3.0678  14.6948 
sanjiaoji.5_Final.jpg          10.1032 0.8566   6.1360   366.1133   18.7001  5424    0.9051  24.7038   3.0984  26.4683 
shikelipu.2_Final.jpg          12.5250 0.9944   7.0245   219.4966   11.9905  1770    0.8099  19.0190   6.1576  30.0166 
shikelipu.6_Final.jpg          10.6072 0.8950   6.5606   563.9996   13.8003  2754    0.9061  18.2044   4.9387  23.0285 
suojiao.1_Final.jpg            6.3401  0.6550   6.2192   459.8675   9.0342   1266    0.8557  18.8164   3.0344  14.3613 
suojiao.4_Final.jpg            10.2310 0.8744   5.5057   647.5396   13.3861  2977    0.9029  23.7314   4.3114  22.4952 
suojiao.9_Final.jpg            8.6184  0.7820   5.7665   764.2713   15.3090  2309    0.8424  21.9176   5.0545  23.7650 
weixiaoyuanjia.11_Final.jpg    5.2651  0.5969   4.5291   345.5166   7.0363   937     0.8938  21.5780   3.2685  11.1044 
weixiaoyuanjia.12_Final.jpg    5.0741  0.5852   4.6118   340.9441   7.4325   1083    0.8487  18.4279   2.6773  11.0989 
weixiaoyuanjia.13_Final.jpg    5.4656  0.6083   4.7764   353.4163   7.7657   1094    0.8528  18.7032   2.8592  11.9766 
weixiaoyuanjia.14_Final.jpg    5.7672  0.6265   4.8337   306.3902   7.0301   996     0.8566  21.3788   2.7250  12.3462 
