method,method_role,stem,raw_filename,raw_sha256,raw_path,result_path,EME,EMEE,Entropy,Contrast,AvgGra,MS_SSIM,PSNR,UCIQE,UIQM,SSEQ,SIFT_GOOD_MATCHES,SIFT_MATCH_RATIO,SIFT_RAW_KEYPOINTS,SIFT_ENHANCED_KEYPOINTS,SIFT_MATCH_STATUS,SSEQ_S1_SPATIAL_MEAN,SSEQ_S1_SPATIAL_SKEW,SSEQ_S1_SPECTRAL_MEAN,SSEQ_S1_SPECTRAL_SKEW,SSEQ_S2_SPATIAL_MEAN,SSEQ_S2_SPATIAL_SKEW,SSEQ_S2_SPECTRAL_MEAN,SSEQ_S2_SPECTRAL_SKEW,SSEQ_S3_SPATIAL_MEAN,SSEQ_S3_SPATIAL_SKEW,SSEQ_S3_SPECTRAL_MEAN,SSEQ_S3_SPECTRAL_SKEW
HVDualformer,enhancement_reference,chichaoyiwan.16,chichaoyiwan.16.jpg,1ec852406e00d3dfe745c2fa9f7c188455d40639b2349cc227356e05ca5887f5,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HVDualformer\chichaoyiwan.16.jpg,1.200533514,0.3656291498,3.480115195,6.121987657,1.756031234,0.9943760037,30.16239242,0.5729317228,4.368603805,1.158634854,22,0.8461538462,28,26,ok,2.491539868,2.829029689,0.001113502625,8.397891393,2.303449142,3.023553655,0.0009668926719,7.479395814,2.153872885,2.508020572,0.0008668358525,5.353151862
ABC-Former,enhancement_reference,chichaoyiwan.16,chichaoyiwan.16.jpg,1ec852406e00d3dfe745c2fa9f7c188455d40639b2349cc227356e05ca5887f5,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\ABC-Former\chichaoyiwan.16.jpg,1.021975385,0.3558495323,3.215081295,5.463856779,1.606935947,0.9984792471,37.82836125,0.6643518546,3.408802409,1.018647823,24,0.96,28,25,ok,2.298721557,3.099692512,0.0008887612932,8.382502602,2.000831019,3.190218016,0.0007204483124,7.495882132,1.810106627,2.423854958,0.000618523174,5.320072386
GDCP,enhancement_reference,chichaoyiwan.16,chichaoyiwan.16.jpg,1ec852406e00d3dfe745c2fa9f7c188455d40639b2349cc227356e05ca5887f5,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\GDCP\chichaoyiwan.16.jpg,3.376393483,0.4875625892,4.816622802,37.0960864,4.747988734,0.9136731625,24.93671464,1.577765266,13.28942402,1.714166798,17,0.6071428571,28,45,ok,3.729053665,1.892817136,0.004683269955,7.638261366,3.39713925,2.641793249,0.003988318416,7.495693575,3.146929238,1.951250602,0.003207045328,5.20812615
CBF,enhancement_reference,chichaoyiwan.16,chichaoyiwan.16.jpg,1ec852406e00d3dfe745c2fa9f7c188455d40639b2349cc227356e05ca5887f5,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\CBF\chichaoyiwan.16.jpg,6.444546695,0.6534034786,6.514154445,71.62371179,8.755376361,0.6665263772,16.25246557,1.561185773,18.51778226,2.075848741,11,0.3928571429,28,175,ok,4.318643754,-1.999871504,0.01177999505,5.982357871,4.073977561,-0.9793333934,0.007926837733,6.178294527,4.036396616,-0.1875350338,0.00636768206,4.359802221
HLRP,enhancement_high_noise_diagnostic,chichaoyiwan.16,chichaoyiwan.16.jpg,1ec852406e00d3dfe745c2fa9f7c188455d40639b2349cc227356e05ca5887f5,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HLRP\chichaoyiwan.16.jpg,11.06510788,0.9081064008,6.534856413,122.6239077,12.80069546,0.3583591282,13.43570144,1.30766648,26.72906143,2.391456065,0,0,28,1536,ok,4.88546014,-1.98983514,0.02938729212,5.48181961,4.761088676,-1.397912719,0.02314460641,4.968506198,4.630045876,-0.6111132848,0.01960979854,4.217010829
SGUIE-Net,enhancement_reference,chichaoyiwan.16,chichaoyiwan.16.jpg,1ec852406e00d3dfe745c2fa9f7c188455d40639b2349cc227356e05ca5887f5,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\SGUIE-Net\chichaoyiwan.16.jpg,1.596127394,0.3874330296,3.993882971,11.09522433,1.999534057,0.9781624079,30.5681936,1.636219904,6.123991228,1.337305073,16,0.5714285714,28,35,ok,2.685061152,0.3632631429,0.001883135093,8.249656991,2.732064104,2.411325342,0.001662485952,7.609406389,2.601690763,2.148873098,0.001468796373,5.316702334
Histoformer,enhancement_high_noise_diagnostic,chichaoyiwan.16,chichaoyiwan.16.jpg,1ec852406e00d3dfe745c2fa9f7c188455d40639b2349cc227356e05ca5887f5,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Histoformer\chichaoyiwan.16.jpg,26.12471404,1.75833507,7.302027502,1139.84762,38.90044509,0.1462047696,12.97614147,5.034592917,53.34673807,2.654333199,0,0,28,2060,ok,5.023855446,-0.4544844509,0.09814067694,3.468437645,5.375839417,-1.224528737,0.06662629316,3.788115657,5.307092937,-0.1725802431,0.05444442602,2.555646172
raw,anchor_raw,chichaoyiwan.2,chichaoyiwan.2.jpg,b30556475f8446b7ec8f005f8f28a7374b4116fa7f5d530bfaef9fbe95eebbf7,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.2.jpg,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.2.jpg,0.8301060501,0.3453024264,2.78414581,2.938714734,1.537544298,1,361.2019991,0.5513395109,3.599095716,0.8884367244,,,,,reference_na,2.229633555,3.266126098,0.0004650800917,11.08088399,1.765047909,3.695947918,0.0003317410727,9.540808189,1.334950254,3.728034558,0.0001918075373,7.469221184
Ours,legacy_ours_reference,chichaoyiwan.2,chichaoyiwan.2.jpg,b30556475f8446b7ec8f005f8f28a7374b4116fa7f5d530bfaef9fbe95eebbf7,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.2.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Ours\chichaoyiwan.2.png,38.19162336,2.461154169,7.372931484,2563.425407,57.62483218,0.3319116831,14.21227825,1.280407571,71.8860247,2.485984519,0,0,13,796,ok,5.226784818,-0.6351773324,0.1258164143,1.520579788,5.065641647,0.3123210843,0.02958560905,4.200488796,4.458788212,0.6703553036,0.00929041657,4.020559137
HVDualformer,enhancement_reference,chichaoyiwan.2,chichaoyiwan.2.jpg,b30556475f8446b7ec8f005f8f28a7374b4116fa7f5d530bfaef9fbe95eebbf7,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.2.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HVDualformer\chichaoyiwan.2.jpg,1.066474599,0.3582219268,3.179846388,3.561334248,1.711815481,0.99468261,30.09702674,0.3897515775,4.207499137,1.092774673,10,0.9090909091,13,11,ok,2.501234117,2.789052862,0.00069769283,10.99762129,2.208757752,3.328320335,0.0005622312366,10.02715017,1.845042611,3.846685984,0.0003536355597,7.98117997
ABC-Former,enhancement_reference,chichaoyiwan.2,chichaoyiwan.2.jpg,b30556475f8446b7ec8f005f8f28a7374b4116fa7f5d530bfaef9fbe95eebbf7,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.2.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\ABC-Former\chichaoyiwan.2.jpg,0.9211951885,0.3502790504,2.992226014,3.186383229,1.604926364,0.9972789884,44.08058004,0.4742389052,3.339660354,0.9964395929,12,0.9230769231,13,17,ok,2.367294045,2.892390346,0.0005485277533,10.95142688,1.995331859,3.403369583,0.0004131009571,9.517913114,1.614796968,3.497711717,0.0002530574946,7.276638732
