method,stem,original_filename,result_filename,original_path,result_path,EME,EMEE,Entropy,Contrast,AvgGra,SIFT_KP,MS_SSIM,PSNR,UCIQE,UIQM
IMF1Ray,donghaiyuanjia.15,donghaiyuanjia.15.jpg,donghaiyuanjia.15_IMF1Ray.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.15.jpg,D:\Desktop\Stage1Codex\results\png\IMF1Ray\donghaiyuanjia.15_IMF1Ray.png,2.158649668,0.4191091516,3.51708128,116.3713215,3.620852132,703,0.9127284884,20.8827256,0.5675287247,4.476066516
RGHS,donghaiyuanjia.15,donghaiyuanjia.15.jpg,donghaiyuanjia.15_RGHS.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.15.jpg,D:\Desktop\Stage1Codex\results\png\RGHS\donghaiyuanjia.15_RGHS.png,5.559933168,0.6258549325,4.627085129,196.0859816,4.498732096,610,0.8468657136,18.43845072,0.6444149613,9.904516719
CLAHE,donghaiyuanjia.15,donghaiyuanjia.15.jpg,donghaiyuanjia.15_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.15.jpg,D:\Desktop\Stage1Codex\results\png\CLAHE\donghaiyuanjia.15_CLAHE.png,6.494077079,0.6857778316,5.086700331,116.6484326,3.976903301,528,0.8757551908,20.10708369,0.7043566108,11.67430486
Fused,donghaiyuanjia.15,donghaiyuanjia.15.jpg,donghaiyuanjia.15_Fused.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.15.jpg,D:\Desktop\Stage1Codex\results\png\Fused\donghaiyuanjia.15_Fused.png,4.081690367,0.5275960701,4.783936518,124.0686716,4.327434647,606,0.8529672027,21.26682412,0.5941768289,8.399521032
Final,donghaiyuanjia.15,donghaiyuanjia.15.jpg,donghaiyuanjia.15_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.15.jpg,D:\Desktop\Stage1Codex\results\png\Final\donghaiyuanjia.15_Final.png,4.580513725,0.5585481839,3.488753737,323.2570435,6.307199102,1163,0.929543674,22.07218491,1.04098475,8.88138515
BPH,donghaiyuanjia.2,donghaiyuanjia.2.jpg,donghaiyuanjia.2_BPH.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.2.jpg,D:\Desktop\Stage1Codex\results\png\BPH\donghaiyuanjia.2_BPH.png,0.5694681936,0.3311496032,1.766239194,4.779383817,0.7426056796,47,0.9983821511,49.60218117,0.772433877,1.717844229
IMF1Ray,donghaiyuanjia.2,donghaiyuanjia.2.jpg,donghaiyuanjia.2_IMF1Ray.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.2.jpg,D:\Desktop\Stage1Codex\results\png\IMF1Ray\donghaiyuanjia.2_IMF1Ray.png,1.980087133,0.4088667235,3.499256002,78.49580721,3.147910506,481,0.7544332147,21.13175603,0.7918111682,4.227109266
RGHS,donghaiyuanjia.2,donghaiyuanjia.2.jpg,donghaiyuanjia.2_RGHS.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.2.jpg,D:\Desktop\Stage1Codex\results\png\RGHS\donghaiyuanjia.2_RGHS.png,7.316929515,0.7378559399,4.378451657,186.0881466,4.44211683,444,0.7152991891,12.87245515,0.8018059731,12.99202402
CLAHE,donghaiyuanjia.2,donghaiyuanjia.2.jpg,donghaiyuanjia.2_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.2.jpg,D:\Desktop\Stage1Codex\results\png\CLAHE\donghaiyuanjia.2_CLAHE.png,6.455783792,0.683343398,4.822145905,119.5085619,4.016417255,404,0.7577827573,17.90120113,0.9086489081,11.26893695
Fused,donghaiyuanjia.2,donghaiyuanjia.2.jpg,donghaiyuanjia.2_Fused.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.2.jpg,D:\Desktop\Stage1Codex\results\png\Fused\donghaiyuanjia.2_Fused.png,3.982544247,0.5224809917,4.727776145,107.6599383,4.086699745,420,0.7435365319,16.5701206,0.7629258037,8.060079299
Final,donghaiyuanjia.2,donghaiyuanjia.2.jpg,donghaiyuanjia.2_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.2.jpg,D:\Desktop\Stage1Codex\results\png\Final\donghaiyuanjia.2_Final.png,4.07559788,0.5282797239,4.002349625,257.2894641,6.216886952,938,0.8456950188,17.90320062,1.327177286,7.753458917
BPH,donghaiyuanjia.4,donghaiyuanjia.4.jpg,donghaiyuanjia.4_BPH.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.4.jpg,D:\Desktop\Stage1Codex\results\png\BPH\donghaiyuanjia.4_BPH.png,0.7084590214,0.3387319113,2.409305886,4.611001176,0.8821229244,73,0.9990493655,49.02104926,0.7396041751,1.982980375
IMF1Ray,donghaiyuanjia.4,donghaiyuanjia.4.jpg,donghaiyuanjia.4_IMF1Ray.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.4.jpg,D:\Desktop\Stage1Codex\results\png\IMF1Ray\donghaiyuanjia.4_IMF1Ray.png,2.015629651,0.4106657574,3.614772922,70.74238342,3.224789981,566,0.8311334848,21.28839724,0.7483506799,4.681424028
RGHS,donghaiyuanjia.4,donghaiyuanjia.4.jpg,donghaiyuanjia.4_RGHS.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.4.jpg,D:\Desktop\Stage1Codex\results\png\RGHS\donghaiyuanjia.4_RGHS.png,7.523701922,0.7491347576,4.914075592,159.631681,4.427594471,427,0.7457975149,13.24826059,0.7932130694,14.05635494
CLAHE,donghaiyuanjia.4,donghaiyuanjia.4.jpg,donghaiyuanjia.4_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.4.jpg,D:\Desktop\Stage1Codex\results\png\CLAHE\donghaiyuanjia.4_CLAHE.png,7.10821111,0.7224998797,4.863102641,96.36887735,3.789089017,387,0.8114851713,18.82506991,0.8698990345,12.28362295
Fused,donghaiyuanjia.4,donghaiyuanjia.4.jpg,donghaiyuanjia.4_Fused.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.4.jpg,D:\Desktop\Stage1Codex\results\png\Fused\donghaiyuanjia.4_Fused.png,4.14184815,0.5309853625,5.100353432,95.78668201,4.149475395,431,0.7682263255,17.11023216,0.7421343923,8.825190058
Final,donghaiyuanjia.4,donghaiyuanjia.4.jpg,donghaiyuanjia.4_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.4.jpg,D:\Desktop\Stage1Codex\results\png\Final\donghaiyuanjia.4_Final.png,4.209161665,0.5363485254,3.941039337,229.9242212,6.125683824,981,0.8715497851,18.70436643,1.768794656,8.137631184
BPH,donghaiyuanjia.5,donghaiyuanjia.5.jpg,donghaiyuanjia.5_BPH.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.5.jpg,D:\Desktop\Stage1Codex\results\png\BPH\donghaiyuanjia.5_BPH.png,0.6786869225,0.3371785373,2.434659216,7.755466301,0.8678200633,78,0.9994550347,48.44383127,0.7549636364,1.880954822
IMF1Ray,donghaiyuanjia.5,donghaiyuanjia.5.jpg,donghaiyuanjia.5_IMF1Ray.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.5.jpg,D:\Desktop\Stage1Codex\results\png\IMF1Ray\donghaiyuanjia.5_IMF1Ray.png,2.188690677,0.4213519027,3.515936709,105.4702635,3.329460606,628,0.8140251637,21.09349754,0.7705405354,4.562272294
RGHS,donghaiyuanjia.5,donghaiyuanjia.5.jpg,donghaiyuanjia.5_RGHS.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.5.jpg,D:\Desktop\Stage1Codex\results\png\RGHS\donghaiyuanjia.5_RGHS.png,7.296858665,0.7368230331,5.017983347,253.6588509,5.173922079,703,0.7128295302,13.05174118,0.75472188,12.51893597
CLAHE,donghaiyuanjia.5,donghaiyuanjia.5.jpg,donghaiyuanjia.5_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.5.jpg,D:\Desktop\Stage1Codex\results\png\CLAHE\donghaiyuanjia.5_CLAHE.png,7.01242518,0.717374662,5.076987312,159.7720611,4.650753007,604,0.75838238,17.02454247,0.8731113076,12.48885617
Fused,donghaiyuanjia.5,donghaiyuanjia.5.jpg,donghaiyuanjia.5_Fused.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.5.jpg,D:\Desktop\Stage1Codex\results\png\Fused\donghaiyuanjia.5_Fused.png,4.060944258,0.5271283644,4.978485022,148.4271258,4.544076788,666,0.7378351688,16.70769791,0.7122292519,8.081445028
Final,donghaiyuanjia.5,donghaiyuanjia.5.jpg,donghaiyuanjia.5_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.5.jpg,D:\Desktop\Stage1Codex\results\png\Final\donghaiyuanjia.5_Final.png,4.284517552,0.5412365471,3.74615503,338.3217183,6.638012954,1244,0.8514282107,17.90197566,1.506705761,7.989170695
BPH,donghaiyuanjia.7,donghaiyuanjia.7.jpg,donghaiyuanjia.7_BPH.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.7.jpg,D:\Desktop\Stage1Codex\results\png\BPH\donghaiyuanjia.7_BPH.png,0.9246013342,0.350649085,2.825761429,11.22364812,1.219890719,155,0.9994817376,53.15726804,0.7232484818,2.714157955
IMF1Ray,donghaiyuanjia.7,donghaiyuanjia.7.jpg,donghaiyuanjia.7_IMF1Ray.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.7.jpg,D:\Desktop\Stage1Codex\results\png\IMF1Ray\donghaiyuanjia.7_IMF1Ray.png,2.575593271,0.4426402624,3.521044774,131.3866771,3.972130827,757,0.7024295926,21.00439922,0.7775994539,5.64219265
RGHS,donghaiyuanjia.7,donghaiyuanjia.7.jpg,donghaiyuanjia.7_RGHS.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.7.jpg,D:\Desktop\Stage1Codex\results\png\RGHS\donghaiyuanjia.7_RGHS.png,8.544827434,0.8078083313,4.784959556,285.7813235,6.02298046,818,0.7066740394,13.65276908,0.8979685903,14.50646319
CLAHE,donghaiyuanjia.7,donghaiyuanjia.7.jpg,donghaiyuanjia.7_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.7.jpg,D:\Desktop\Stage1Codex\results\png\CLAHE\donghaiyuanjia.7_CLAHE.png,8.503596927,0.8049069968,5.022301154,169.538749,5.102793242,744,0.7279971242,19.35629728,0.9569976926,14.74273718
Fused,donghaiyuanjia.7,donghaiyuanjia.7.jpg,donghaiyuanjia.7_Fused.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.7.jpg,D:\Desktop\Stage1Codex\results\png\Fused\donghaiyuanjia.7_Fused.png,5.103808223,0.5855637216,5.084347488,162.2068329,5.224906256,768,0.7415751815,18.12915801,0.838367641,10.41302037
Final,donghaiyuanjia.7,donghaiyuanjia.7.jpg,donghaiyuanjia.7_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.7.jpg,D:\Desktop\Stage1Codex\results\png\Final\donghaiyuanjia.7_Final.png,6.202074917,0.6526412171,4.507078489,415.3632053,8.14450149,1442,0.8474492431,19.92885241,1.429815292,11.91989276
BPH,donghaiyuanjia.8,donghaiyuanjia.8.jpg,donghaiyuanjia.8_BPH.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.8.jpg,D:\Desktop\Stage1Codex\results\png\BPH\donghaiyuanjia.8_BPH.png,0.818639138,0.3448069725,2.863661159,6.879584639,1.030944996,103,0.9991008043,50.65619999,0.7657361627,2.436659272
IMF1Ray,donghaiyuanjia.8,donghaiyuanjia.8.jpg,donghaiyuanjia.8_IMF1Ray.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.8.jpg,D:\Desktop\Stage1Codex\results\png\IMF1Ray\donghaiyuanjia.8_IMF1Ray.png,2.242803199,0.4233968208,3.6099992,98.51627645,3.718055817,685,0.8433308005,20.69746632,0.8502293825,4.819068269
RGHS,donghaiyuanjia.8,donghaiyuanjia.8.jpg,donghaiyuanjia.8_RGHS.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.8.jpg,D:\Desktop\Stage1Codex\results\png\RGHS\donghaiyuanjia.8_RGHS.png,8.19851302,0.7908471677,4.57823461,160.5495298,4.388371387,552,0.8152480721,15.30175448,0.8893826604,14.53127706
CLAHE,donghaiyuanjia.8,donghaiyuanjia.8.jpg,donghaiyuanjia.8_CLAHE.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.8.jpg,D:\Desktop\Stage1Codex\results\png\CLAHE\donghaiyuanjia.8_CLAHE.png,7.480353609,0.7436950448,4.894003784,95.28887147,3.85222414,466,0.8253950477,20.01463888,0.9504429698,13.4825596
Fused,donghaiyuanjia.8,donghaiyuanjia.8.jpg,donghaiyuanjia.8_Fused.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.8.jpg,D:\Desktop\Stage1Codex\results\png\Fused\donghaiyuanjia.8_Fused.png,4.294008743,0.5398498605,4.833250174,103.8287422,4.140926822,563,0.8386227489,20.46703979,0.8295234442,8.888721722
Final,donghaiyuanjia.8,donghaiyuanjia.8.jpg,donghaiyuanjia.8_Final.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.8.jpg,D:\Desktop\Stage1Codex\results\png\Final\donghaiyuanjia.8_Final.png,4.892618064,0.5769024277,4.135509681,301.6148266,6.55941336,1240,0.9135119319,22.62023706,1.305975676,9.607477211
BPH,donghaiyuanjia.9,donghaiyuanjia.9.jpg,donghaiyuanjia.9_BPH.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.9.jpg,D:\Desktop\Stage1Codex\results\png\BPH\donghaiyuanjia.9_BPH.png,0.7559944334,0.3413932548,1.965120862,6.610315439,0.9541744903,95,0.9987583756,53.23734467,0.797935307,2.317310794
IMF1Ray,donghaiyuanjia.9,donghaiyuanjia.9.jpg,donghaiyuanjia.9_IMF1Ray.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.9.jpg,D:\Desktop\Stage1Codex\results\png\IMF1Ray\donghaiyuanjia.9_IMF1Ray.png,2.081831921,0.4147303666,3.413120599,81.58583464,3.283196831,642,0.8561570048,20.88842791,0.7993588448,4.678662218
RGHS,donghaiyuanjia.9,donghaiyuanjia.9.jpg,donghaiyuanjia.9_RGHS.png,D:\Desktop\Stage1Codex\data\inputImg\Original\donghaiyuanjia.9.jpg,D:\Desktop\Stage1Codex\results\png\RGHS\donghaiyuanjia.9_RGHS.png,7.444051852,0.7418444673,4.623801934,178.5738049,4.649102439,618,0.7984670401,15.3321544,0.8701351285,13.65843667
