comparison,detector,candidate,tag,image_count_multilabel,delta_boundary_f1_tol,delta_boundary_precision_tol,delta_boundary_recall_tol,delta_false_edge_ratio_tol,delta_missed_gt_ratio_tol,delta_pred_components_per_1k_edge_px,delta_endpoints_per_1k_skel_px,delta_p95_pred_to_gt_distance,direction_boundary_f1_tol,direction_boundary_precision_tol,direction_boundary_recall_tol,direction_false_edge_ratio_tol,direction_missed_gt_ratio_tol,direction_pred_components_per_1k_edge_px,direction_endpoints_per_1k_skel_px,direction_p95_pred_to_gt_distance
p5c_mild_vs_raw_baseline,DiffusionEdge baseline 50k,edge_preserve_raw_bph_mild_v1,low_contrast_boundary,42,0.0006523058083066153,-0.00395347341291448,0.00422098660098327,0.003953473412914466,-0.004220986600983267,-0.0600552436295888,0.24840276994437802,-0.2541931099209034,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
p5c_mild_vs_raw_baseline,DiffusionEdge baseline 50k,edge_preserve_raw_bph_mild_v1,blurred_contour,42,0.00032539720691209635,-0.0023113749268092666,0.002409173031477488,0.0023113749268092554,-0.002409173031477486,-0.244914349155962,-0.9248852684350509,0.07392176777965237,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
p5c_mild_vs_raw_baseline,DiffusionEdge baseline 50k,edge_preserve_raw_bph_mild_v1,false_edge_background,42,-0.0031870286467465033,-0.00979465049871418,0.004283721665667277,0.00979465049871417,-0.00428372166566729,0.006977384592350213,0.6133007476342942,0.6727284734331659,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
p5c_mild_vs_raw_baseline,DiffusionEdge baseline 50k,edge_preserve_raw_bph_mild_v1,thin_structure,42,-0.000804207777818428,-0.0070565059100385534,0.004747284130649357,0.007056505910038534,-0.004747284130649368,-0.04092452552176811,0.08755356058517252,2.458135480664537,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
p5c_mild_vs_raw_baseline,DiffusionEdge baseline 50k,edge_preserve_raw_bph_mild_v1,overlap_clutter,49,-0.0011446867420387532,-0.006469323007554953,0.00307109590977155,0.006469323007554943,-0.00307109590977155,-0.003437276001298043,0.2759690200732091,2.035928366749447,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
p5c_mild_vs_raw_baseline,DiffusionEdge baseline 50k,edge_preserve_raw_bph_mild_v1,unassigned_proxy,45,-0.0015988553420484824,-0.005194841751588032,0.0021395850781207736,0.005194841751588031,-0.002139585078120773,-0.08995009757190812,0.8900939949948694,-0.1697389321498346,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
p7_gamma_vs_raw_msfi,MSFI 50k,generic_luma_gamma_mild_v1,all_auto_candidates,168,0.0006924730954504766,0.003978439968746551,-0.0023378309964560964,-0.003978439968746552,0.002337830996456096,-0.42897420596267755,-1.1209831632520113,-0.2671764767178103,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
p7_gamma_vs_raw_msfi,MSFI 50k,generic_luma_gamma_mild_v1,low_contrast_boundary,42,0.0006455126332079109,0.005101740098476611,-0.0030930275682664876,-0.0051017400984766205,0.003093027568266493,-0.3889542372488788,-0.9104046724075723,-0.696571323525763,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
p7_gamma_vs_raw_msfi,MSFI 50k,generic_luma_gamma_mild_v1,blurred_contour,42,0.0002122569905784347,0.003596883095331677,-0.002698446067234098,-0.003596883095331681,0.0026984460672340913,-0.6244225436682864,-0.2698081148046472,-0.6059885188409153,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
p7_gamma_vs_raw_msfi,MSFI 50k,generic_luma_gamma_mild_v1,false_edge_background,42,0.00045187072317028526,0.0053378255790168345,-0.003893069715483346,-0.00533782557901684,0.003893069715483355,-0.17010798735762464,-1.3706521411181103,-0.13703836725118887,negative_delta_is_worse,negative_delta_is_worse,negative_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse,positive_delta_is_worse
