stem,selection_reasons,legacy_stage1_final_mean_abs_bgr_delta,legacy_stage1_final_mean_abs_chroma_delta,legacy_stage1_final_grad_mean_ratio,legacy_stage1_final_luma_std_ratio,P27_raw_detail_lowfreq_chroma_mean_abs_bgr_delta,P27_raw_detail_lowfreq_chroma_mean_abs_chroma_delta,P27_raw_detail_lowfreq_chroma_grad_mean_ratio,P27_raw_detail_lowfreq_chroma_luma_std_ratio,D01_structure_flow_mean_abs_bgr_delta,D01_structure_flow_mean_abs_chroma_delta,D01_structure_flow_grad_mean_ratio,D01_structure_flow_luma_std_ratio,FF01_full_flow_v8_mean_abs_bgr_delta,FF01_full_flow_v8_mean_abs_chroma_delta,FF01_full_flow_v8_grad_mean_ratio,FF01_full_flow_v8_luma_std_ratio,FF02_detector_compatible_mean_abs_bgr_delta,FF02_detector_compatible_mean_abs_chroma_delta,FF02_detector_compatible_grad_mean_ratio,FF02_detector_compatible_luma_std_ratio
hailianzao.8,D01_structure_flow:msfi_50k:f1_loss:top5;P27_raw_detail_lowfreq_chroma:msfi_50k:f1_loss:top5,87.94676971435547,12.524789810180664,4.6958475784029625,2.6943556920861247,3.0585222244262695,1.546289086341858,1.0241012049268317,1.0053612937656964,3.469492197036743,1.8949121236801147,1.0268927815629296,0.9918835904235289,9.350374221801758,6.972460746765137,1.0194821060127934,1.0001786205679664,12.831816673278809,9.533638000488281,0.8814817541595015,0.9766886368946384
haiyangkadun.13,D01_structure_flow:msfi_50k:endpoint_increase:top5;P27_raw_detail_lowfreq_chroma:diffusionedge_baseline_50k:f1_loss:top5;P27_raw_detail_lowfreq_chroma:diffusionedge_baseline_50k:false_edge_increase:top5;P27_raw_detail_lowfreq_chroma:msfi_50k:endpoint_increase:top5,53.64137649536133,10.027016639709473,16.86970207706779,4.339997460667071,1.1179622411727905,0.3545800745487213,1.312828514464654,0.9857540280430497,1.3090656995773315,0.35457029938697815,1.571237905777369,0.9991807141447238,14.659811019897461,7.022216796875,1.0656188889257212,1.0451409496048794,16.373193740844727,7.931806564331055,1.1393630613531338,1.0197493271457945
haiyangkadun.19,D01_structure_flow:diffusionedge_baseline_50k:f1_loss:top5;P27_raw_detail_lowfreq_chroma:diffusionedge_baseline_50k:f1_loss:top5,10.751174926757812,4.826962947845459,5.189466991462326,1.9074851127978427,1.88037109375,0.8152294754981995,1.170965087156851,1.0070446222266054,1.9301432371139526,0.8153369426727295,1.2482354000408595,0.981807597498379,2.788616418838501,2.297470808029175,1.032514866446902,1.0277759237112603,3.3989615440368652,2.727797746658325,0.9033821548393435,1.004027135775912
haiyangkadun.20,D01_structure_flow:msfi_50k:false_edge_increase:top5;P27_raw_detail_lowfreq_chroma:diffusionedge_baseline_50k:false_edge_increase:top5;P27_raw_detail_lowfreq_chroma:msfi_50k:false_edge_increase:top5,18.47504234313965,6.677871227264404,3.381737676017761,1.0943937803324324,2.3731770515441895,1.0767773389816284,1.041602818892159,0.9973815597766169,2.5373470783233643,1.0774316787719727,1.0736651821042977,0.9806153731608067,8.890527725219727,4.660263538360596,1.0100370958633345,0.9812197565483443,9.84887409210205,5.293627738952637,0.916005951809053,0.9932044758138187
haiyangyuanjia.6,D01_structure_flow:diffusionedge_baseline_50k:endpoint_increase:top5,31.52642250061035,9.338120460510254,2.851184399154649,1.383799408748252,1.799889326095581,0.849804699420929,0.9879221630918229,0.9985387197559458,1.8210351467132568,0.8522363305091858,1.0147234212922667,0.9919754089937829,4.559420585632324,4.486899375915527,1.0138714124521961,1.0165618448102192,5.163222789764404,5.208593845367432,0.9408571426556872,0.996654336999834
haiyangyuanjia.7,P27_raw_detail_lowfreq_chroma:msfi_50k:false_edge_increase:top5,28.372465133666992,5.031289100646973,3.1183547693638274,1.6093076327797278,1.485582709312439,0.4070507884025574,1.0124849867166956,1.000015178384178,1.6037890911102295,0.4092040956020355,1.0761896444631722,0.9870623601154467,4.376110076904297,2.4128222465515137,1.0204814711671557,1.0076585764546697,5.297972202301025,2.932421922683716,0.8969757996015442,0.9880177848742582
jianci.4,D01_structure_flow:msfi_50k:endpoint_increase:top5;FF01_full_flow_v8:top5_grad;FF02_detector_compatible:top5_grad;named_in_FF01_FF02_status,20.417936325073242,16.55817413330078,15.761348343814628,10.131370894559437,1.8452343940734863,0.7379834055900574,1.9338201896792673,0.9911939260975968,2.0712532997131348,1.5973047018051147,1.936628572405696,0.9946147163909373,12.30517292022705,11.985483169555664,1.2108202245964894,1.1811128078385462,14.213420867919922,13.942304611206055,1.237878637575805,1.1262741591769327
jiaomaozao.14,P27_raw_detail_lowfreq_chroma:top3_bgr,32.460609436035156,2.902890682220459,2.545682527577964,2.100094160619292,4.220859527587891,1.727748990058899,0.9666512164374765,0.9746377353470959,4.195735454559326,1.7274023294448853,0.9262859948349076,0.9663491176759067,1.1164159774780273,0.26325684785842896,1.0128176199133492,1.0203939302993015,1.8535188436508179,0.5981103777885437,0.8445232849321489,0.9230876359848113
jiaomaozao.19,P27_raw_detail_lowfreq_chroma:top3_bgr,24.20916748046875,2.833432674407959,2.562909025852819,2.2060133829822433,3.9563183784484863,1.8374218940734863,1.0046732953862154,1.005353244021096,3.951500654220581,1.8380224704742432,0.971497625213753,0.9971476948488476,1.2054166793823242,0.42146483063697815,1.0146101868118602,1.0147826004596703,2.041207790374756,0.6657665967941284,0.8483562309971864,0.9109454524610178
jiaomaozao.29,D01_structure_flow:msfi_50k:f1_loss:top5;P27_raw_detail_lowfreq_chroma:msfi_50k:f1_loss:top5,21.475074768066406,12.400971412658691,5.484402304736356,3.0044958563872486,1.9578157663345337,0.9258496165275574,1.0783868522285707,0.9986653688841358,1.9129524230957031,1.2260693311691284,1.1114405401902985,1.0024993047048332,8.335592269897461,8.132719993591309,1.0134713855955328,1.0278686389991882,10.056819915771484,9.555048942565918,0.8768522440429957,0.999196373833743
